ndb_id,description,water (g),energy (kcal),protein (g),total fat (g),ash (g),carbohydrate (g),dietary fiber (g),sugar (g),calcium (mg),iron (mg),magnesium (mg),phosphorus (mg),potassium (mg),sodium (mg),zinc (mg),copper (mg),manganese (mg),selenium (μg),vitamin c (mg),thiamin (mg),riboflavin (mg),niacin (mg),pantothenic acid (mg),vitamin b6 (mg),total folate (μg),folic acid (μg),food folate (μg),dietary folate (μg),choline (mg),vitamin b12 (μg),vitamin a (iu),vitamin a (μg),retinol (μg),alpha-carotene (μg),beta-carotene (μg),beta-cryptoxanthin (μg),lycopene (μg),lutein + zeazanthin (μg),vitamin e (mg),vitamin d (μg),vitamin d (iu),vitamin k (μg),saturated fatty acid (g),monounsaturated fatty acids (g),polyunsaturated fatty acids (g),cholesterol (mg)
11280,"OKRA,FROZEN,UNPREPARED",90.82,30,1.69,0.25,0.61,6.63,2.2,2.97,81,0.57,43,42,211,3,0.53,0.083,0.873,0.6,12.4,0.089,0.105,0.708,0.216,0.042,148,0,148,148,11.4,0.00,350,18,0,0,210,0,0,482,0.33,0.0,0,49.4,0.065,0.041,0.066,0
11281,"OKRA,FRZ,CKD,BLD,DRND,WO/SALT",91.12,29,1.63,0.24,0.59,6.41,2.1,2.87,74,0.52,40,37,184,3,0.49,0.076,0.844,0.6,9.6,0.073,0.096,0.616,0.209,0.037,100,0,100,100,11.1,0.00,305,15,0,0,183,0,0,420,0.32,0.0,0,47.8,0.063,0.040,0.064,0
11291,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",89.83,32,1.83,0.19,0.81,7.34,2.6,2.33,72,1.48,20,37,276,16,0.39,0.083,0.160,0.6,18.8,0.055,0.080,0.525,0.075,0.061,64,0,64,64,5.7,0.00,997,50,0,0,598,0,0,1137,0.55,0.0,0,207.0,0.032,0.027,0.074,0
11293,"ONIONS,WELSH,RAW",90.50,34,1.90,0.40,0.70,6.50,2.4,2.18,18,1.22,23,49,212,17,0.52,0.070,0.137,0.6,27.0,0.050,0.090,0.400,0.169,0.072,16,0,16,16,5.3,0.00,1160,,0,,,,,,0.51,0.0,0,193.4,0.067,0.056,0.156,0
11297,"PARSLEY,FRSH",87.71,36,2.97,0.79,2.20,6.33,3.3,0.85,138,6.20,50,58,554,56,1.07,0.149,0.160,0.1,133.0,0.086,0.098,1.313,0.400,0.090,152,0,152,152,12.8,0.00,8424,421,0,0,5054,0,0,5561,0.75,0.0,0,1640.0,0.132,0.295,0.124,0
11302,"PEAS,EDIBLE-PODDED,FRZ,UNPREP",89.30,42,2.80,0.30,0.40,7.20,3.1,,50,2.00,23,51,192,4,0.41,0.076,0.235,0.7,22.0,0.060,0.100,0.500,0.720,0.154,40,0,40,40,,0.00,140,7,0,,,,,,,0.0,0,,0.058,0.031,0.133,0
11316,"PEAS,MATURE SEEDS,SPROUTED,RAW",62.27,124,8.80,0.68,1.14,27.11,,,36,2.26,56,165,381,20,1.05,0.272,0.438,0.6,10.4,0.225,0.155,3.088,1.029,0.265,144,0,144,144,,0.00,166,,,,,,,,,0.0,0,,0.124,0.061,0.326,0
11322,"PEAS&CARROTS,FRZ,UNPREP",84.36,53,3.40,0.47,0.62,11.15,3.4,,27,1.09,18,60,194,79,0.52,0.089,0.235,1.2,11.2,0.190,0.081,1.412,0.199,0.101,36,0,36,36,,0.00,9497,475,0,,,,,,,0.0,0,,0.084,0.039,0.221,0
11326,"PEAS&ONIONS,FRZ,UNPREP",81.50,70,3.98,0.32,0.70,13.51,3.5,,23,1.54,21,59,203,61,0.48,0.103,0.274,0.6,14.0,0.297,0.114,1.720,0.156,0.144,45,0,45,45,,0.00,544,27,0,,,,,,,0.0,0,,0.057,0.031,0.148,0
11337,"PEPPERS,SWT,GRN,FRZ,CHOPD,UNPREP",93.96,20,1.08,0.21,0.30,4.45,1.6,,9,0.62,8,17,91,5,0.06,0.053,0.117,0.2,58.7,0.069,0.038,1.370,0.030,0.137,14,0,14,14,,0.00,367,18,0,,,,,,,0.0,0,,0.031,0.014,0.113,0
11338,"PEPPERS,SWT,GRN,FRZ,CHOPD,BLD,DRND,WO/SALT",94.70,18,0.95,0.18,0.27,3.90,0.9,,8,0.52,7,13,72,4,0.05,0.044,0.097,0.2,41.2,0.051,0.031,1.082,0.023,0.108,10,0,10,10,,0.00,290,15,0,,,,,,,0.0,0,,0.027,0.012,0.099,0
11350,"POKEBERRY SHOOTS,(POKE),RAW",91.60,23,2.60,0.40,1.70,3.70,1.7,,53,1.70,18,44,242,23,0.24,0.157,0.418,0.9,136.0,0.080,0.330,1.200,0.049,0.146,16,0,16,16,,0.00,8700,435,0,,,,,,,0.0,0,,,,,0
11351,"POKEBERRY SHOOTS,(POKE),CKD,BLD,DRND,WO/SALT",92.90,20,2.30,0.40,1.30,3.10,1.5,1.60,53,1.20,14,33,184,18,0.19,0.126,0.336,0.9,82.0,0.070,0.250,1.100,0.039,0.111,9,0,9,9,0.3,0.00,8700,435,0,0,5220,0,0,1747,0.85,0.0,0,108.0,0.092,0.013,0.176,0
11362,"POTATOES,RAW,SKIN",83.29,58,2.57,0.10,1.61,12.44,2.5,,30,3.24,23,38,413,10,0.35,0.423,0.602,0.3,11.4,0.021,0.038,1.033,0.302,0.239,17,0,17,17,,0.00,0,0,0,,,,,,,0.0,0,,0.026,0.002,0.043,0
